bioguide,caucus,chamber,class,contact_form,district,end,fax,last,name,office,party,party_affiliations,phone,relation,rss_url,start,state,state_rank,title,type,url
H000338,,,1.0,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,,2019-01-03,202-224-6331,,,104 Hart Senate Office Building,Republican,,202-224-5251,,http://www.hatch.senate.gov/public/index.cfm/rss/feed,2013-01-03,UT,senior,,sen,http://www.hatch.senate.gov
K000367,,,1.0,http://www.klobuchar.senate.gov/emailamy.cfm,,2013-01-03,202-228-2186,,,302 Hart Senate Office Building,Democrat,,202-224-3244,,,2007-01-04,MN,,,sen,http://klobuchar.senate.gov/
K000367,,,1.0,http://www.klobuchar.senate.gov/public/email-amy,,2019-01-03,202-228-2186,,,302 Hart Senate Office Building,Democrat,,202-224-3244,,,2013-01-03,MN,senior,,sen,http://www.klobuchar.senate.gov
M001170,,,1.0,http://www.mccaskill.senate.gov/?p=contact,,2013-01-03,202-228-6326,,,506 Hart Senate Office Building,Democrat,,202-224-6154,,,2007-01-04,MO,,,sen,http://mccaskill.senate.gov/
M001170,,,1.0,http://www.mccaskill.senate.gov/?p=contact,,2019-01-03,202-228-6326,,,730 Hart Senate Office Building,Democrat,,202-224-6154,,http://mccaskill.senate.gov/rss/?p=news,2013-01-03,MO,senior,,sen,https://www.mccaskill.senate.gov
M000639,,,,,,,,Menendez,,,,,,,,,,,,,
M000639,,,,,13.0,1995-01-03,,,,,Democrat,,,,,1993-01-05,NJ,,,rep,
M000639,,,,,13.0,1997-01-03,,,,,Democrat,,,,,1995-01-04,NJ,,,rep,
M000639,,,,,13.0,1999-01-03,,,,,Democrat,,,,,1997-01-07,NJ,,,rep,
M000639,,,,,13.0,2001-01-03,,,,,Democrat,,,,,1999-01-06,NJ,,,rep,
M000639,,,,,13.0,2003-01-03,,,,,Democrat,,,,,2001-01-03,NJ,,,rep,
M000639,,,,,13.0,2005-01-03,,,,,Democrat,,,,,2003-01-07,NJ,,,rep,http://menendez.house.gov
M000639,,,,,13.0,2006-01-16,,,,,Democrat,,,,,2005-01-04,NJ,,,rep,http://menendez.house.gov
M000639,,,1.0,,,2007-01-03,,,,,Democrat,,,,,2006-01-18,NJ,,,sen,http://menendez.senate.gov/
M000639,,,1.0,http://menendez.senate.gov/contact/,,2013-01-03,202-228-2197,,,528 Hart Senate Office Building,Democrat,,202-224-4744,,,2007-01-04,NJ,,,sen,http://menendez.senate.gov/
M000639,,,1.0,http://www.menendez.senate.gov/contact,,2019-01-03,202-228-2197,,,528 Hart Senate Office Building,Democrat,,202-224-4744,,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,2013-01-03,NJ,senior,,sen,https://www.menendez.senate.gov
N000032,,,,,9.0,1981-01-03,,,,,Democrat,,,,,1979-01-15,FL,,,rep,
N000032,,,,,9.0,1983-01-03,,,,,Democrat,,,,,1981-01-05,FL,,,rep,
N000032,,,,,11.0,1985-01-03,,,,,Democrat,,,,,1983-01-03,FL,,,rep,
N000032,,,,,11.0,1987-01-03,,,,,Democrat,,,,,1985-01-03,FL,,,rep,
N000032,,,,,11.0,1989-01-03,,,,,Democrat,,,,,1987-01-06,FL,,,rep,
N000032,,,,,11.0,1991-01-03,,,,,Democrat,,,,,1989-01-03,FL,,,rep,
N000032,,,1.0,,,2007-01-03,,,,,Democrat,,,,,2001-01-03,FL,,,sen,http://billnelson.senate.gov/
N000032,,,1.0,http://www.billnelson.senate.gov/contact/index.cfm,,2013-01-03,202-228-2183,,,716 Hart Senate Office Building,Democrat,,202-224-5274,,,2007-01-04,FL,,,sen,http://billnelson.senate.gov/
N000032,,,1.0,http://www.billnelson.senate.gov/contact-bill,,2019-01-03,202-228-2183,,,716 Hart Senate Office Building,Democrat,,202-224-5274,,,2013-01-03,FL,senior,,sen,https://www.billnelson.senate.gov
S000033,,,,,0.0,1993-01-03,,,,,Independent,,,,,1991-01-03,VT,,,rep,
S000033,,,,,0.0,1995-01-03,,,,,Independent,,,,,1993-01-05,VT,,,rep,
S000033,,,,,0.0,1997-01-03,,,,,Independent,,,,,1995-01-04,VT,,,rep,
S000033,,,,,0.0,1999-01-03,,,,,Independent,,,,,1997-01-07,VT,,,rep,
S000033,,,,,0.0,2001-01-03,,,,,Independent,,,,,1999-01-06,VT,,,rep,
S000033,,,,,0.0,2003-01-03,,,,,Independent,,,,,2001-01-03,VT,,,rep,
S000033,,,,,0.0,2005-01-03,,,,,Independent,,,,,2003-01-07,VT,,,rep,http://bernie.house.gov
S000033,,,,,0.0,2007-01-03,,,,,Independent,,,,,2005-01-04,VT,,,rep,http://bernie.house.gov
S000033,,,1.0,http://www.sanders.senate.gov/contact/,,2013-01-03,202-228-0776,,,332 Dirksen Senate Office Building,Independent,,202-224-5141,,,2007-01-04,VT,,,sen,http://sanders.senate.gov/
S000033,Democrat,,1.0,http://www.sanders.senate.gov/contact/comment,,2019-01-03,202-228-0776,,,332 Dirksen Senate Office Building,Independent,,202-224-5141,,http://www.sanders.senate.gov/rss/,2013-01-03,VT,junior,,sen,http://www.sanders.senate.gov
S000770,,,,,8.0,1999-01-03,,,,,Democrat,,,,,1997-01-07,MI,,,rep,
S000770,,,,,8.0,2001-01-03,,,,,Democrat,,,,,1999-01-06,MI,,,rep,
S000770,,,1.0,,,2007-01-03,,,,,Democrat,,,,,2001-01-03,MI,,,sen,http://stabenow.senate.gov/
S000770,,,1.0,http://www.stabenow.senate.gov/?p=contact,,2013-01-03,202-228-0325,,,133 Hart Senate Office Building,Democrat,,202-224-4822,,,2007-01-04,MI,,,sen,http://stabenow.senate.gov/
S000770,,,1.0,http://www.stabenow.senate.gov/?p=contact,,2019-01-03,202-228-0325,,,731 Hart Senate Office Building,Democrat,,202-224-4822,,http://stabenow.senate.gov/rss/?p=news,2013-01-03,MI,senior,,sen,http://www.stabenow.senate.gov
T000464,,,1.0,http://www.tester.senate.gov/Contact/index.cfm,,2013-01-03,202-224-8594,,,724 Hart Senate Office Building,Democrat,,202-224-2644,,,2007-01-04,MT,,,sen,http://tester.senate.gov/
T000464,,,1.0,http://www.tester.senate.gov/?p=email_senator,,2019-01-03,202-224-8594,,,311 Hart Senate Office Building,Democrat,,202-224-2644,,http://www.tester.senate.gov/rss/?p=hot_topic,2013-01-03,MT,senior,,sen,http://www.tester.senate.gov
W000802,,,1.0,http://www.whitehouse.senate.gov/contact/,,2013-01-03,202-228-6362,,,717 Hart Senate Office Building,Democrat,,202-224-2921,,,2007-01-04,RI,,,sen,http://whitehouse.senate.gov/
W000802,,,1.0,http://www.whitehouse.senate.gov/contact,,2019-01-03,202-228-6362,,,530 Hart Senate Office Building,Democrat,,202-224-2921,,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,2013-01-03,RI,junior,,sen,https://www.whitehouse.senate.gov
B001261,,,1.0,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,,2013-01-03,202-224-1724,,,307 Dirksen Senate Office Building,Republican,,202-224-6441,,,2007-06-25,WY,,,sen,http://barrasso.senate.gov
B001261,,,1.0,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,,2019-01-03,202-224-1724,,,307 Dirksen Senate Office Building,Republican,,202-224-6441,,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,2013-01-03,WY,junior,,sen,http://www.barrasso.senate.gov
W000437,,,,,1.0,1997-01-03,,,,,Republican,,,,,1995-01-04,MS,,,rep,
W000437,,,,,1.0,1999-01-03,,,,,Republican,,,,,1997-01-07,MS,,,rep,
W000437,,,,,1.0,2001-01-03,,,,,Republican,,,,,1999-01-06,MS,,,rep,
W000437,,,,,1.0,2003-01-03,,,,,Republican,,,,,2001-01-03,MS,,,rep,
W000437,,,,,1.0,2005-01-03,,,,,Republican,,,,,2003-01-07,MS,,,rep,http://www.house.gov/wicker
W000437,,,,,1.0,2007-01-03,,,,,Republican,,,,,2005-01-04,MS,,,rep,http://www.house.gov/wicker
W000437,,,,,1.0,2007-12-31,,,,,Republican,,,,,2007-01-04,MS,,,rep,http://www.house.gov/wicker
W000437,,,1.0,http://www.wicker.senate.gov/public/index.cfm?FuseAction=Contact.EMailSenatorWicker,,2013-01-03,202-228-0378,,,555 Dirksen Senate Office Building,Republican,,202-224-6253,,,2007-12-31,MS,,,sen,http://wicker.senate.gov
W000437,,,1.0,http://www.wicker.senate.gov/public/index.cfm/contact,,2019-01-03,202-228-0378,,,555 Dirksen Senate Office Building,Republican,,202-224-6253,,,2013-01-03,MS,junior,,sen,http://www.wicker.senate.gov
A000360,,,2.0,,,2009-01-03,,,,,Republican,,,,,2003-01-07,TN,,,sen,http://alexander.senate.gov/
A000360,,,2.0,http://www.alexander.senate.gov/public/index.cfm?p=Email,,2015-01-03,202-228-3398,,,455 Dirksen Senate Office Building,Republican,,202-224-4944,,http://www.alexander.senate.gov/public/?a=rss.feed,2009-01-06,TN,senior,,sen,http://www.alexander.senate.gov
A000360,,,2.0,http://www.alexander.senate.gov/public/index.cfm?p=Email,,2021-01-03,202-228-3398,,,455 Dirksen Senate Office Building,Republican,,202-224-4944,,http://www.alexander.senate.gov/public/?a=rss.feed,2015-01-06,TN,senior,,sen,https://www.alexander.senate.gov/public/index.cfm/home
C000567,,,,,4.0,1975-01-03,,,,,Republican,,,,,1973-01-03,MS,,,rep,
C000567,,,,,4.0,1977-01-03,,,,,Republican,,,,,1975-01-14,MS,,,rep,
C000567,,,,,4.0,1979-01-03,,,,,Republican,,,,,1977-01-04,MS,,,rep,
C000567,,,2.0,,,1985-01-03,,,,,Republican,,,,,1979-01-15,MS,,,sen,
C000567,,,2.0,,,1991-01-03,,,,,Republican,,,,,1985-01-03,MS,,,sen,
C000567,,,2.0,,,1997-01-03,,,,,Republican,,,,,1991-01-03,MS,,,sen,
C000567,,,2.0,,,2003-01-03,,,,,Republican,,,,,1997-01-07,MS,,,sen,
C000567,,,2.0,,,2009-01-03,,,,,Republican,,,,,2003-01-07,MS,,,sen,http://cochran.senate.gov
C000567,,,2.0,http://www.cochran.senate.gov/public/index.cfm/email-me,,2015-01-03,202-224-9450,,,113 Dirksen Senate Office Building,Republican,,202-224-5054,,http://www.cochran.senate.gov/public/index.cfm/rss/feed,2009-01-06,MS,senior,,sen,http://www.cochran.senate.gov
C000567,,,2.0,http://www.cochran.senate.gov/public/index.cfm/email-me,,2021-01-03,202-224-9450,,,113 Dirksen Senate Office Building,Republican,,202-224-5054,,http://www.cochran.senate.gov/public/index.cfm/rss/feed,2015-01-06,MS,senior,,sen,http://www.cochran.senate.gov
C001035,,,2.0,,,2003-01-03,,,,,Republican,,,,,1997-01-07,ME,,,sen,
C001035,,,2.0,,,2009-01-03,,,,,Republican,,,,,2003-01-07,ME,,,sen,http://collins.senate.gov
C001035,,,2.0,http://www.collins.senate.gov/public/index.cfm/email,,2015-01-03,202-224-2693,,,413 Dirksen Senate Office Building,Republican,,202-224-2523,,http://www.collins.senate.gov/public/?a=rss.feed,2009-01-06,ME,senior,,sen,http://www.collins.senate.gov
C001035,,,2.0,http://www.collins.senate.gov/public/index.cfm/email,,2021-01-03,202-224-2693,,,413 Dirksen Senate Office Building,Republican,,202-224-2523,,http://www.collins.senate.gov/public/?a=rss.feed,2015-01-06,ME,senior,,sen,https://www.collins.senate.gov
C001056,,senate,,,,2015-01-03,,,,,,,,,,2013-01-03,,,Minority Whip,,
C001056,,senate,,,,,,,,,,,,,,2015-01-03,,,Majority Whip,,
C001056,,,2.0,,,2003-01-03,,,,,Republican,,,,,2002-01-01,TX,,,sen,
C001056,,,2.0,,,2009-01-03,,,,,Republican,,,,,2003-01-07,TX,,,sen,http://cornyn.senate.gov/
C001056,,,2.0,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm,,2015-01-03,202-228-2856,,,517 Hart Senate Office Building,Republican,,202-224-2934,,http://www.cornyn.senate.gov/public/?a=rss.feed,2009-01-06,TX,senior,,sen,http://www.cornyn.senate.gov
C001056,,,2.0,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm,,2021-01-03,202-228-2856,,,517 Hart Senate Office Building,Republican,,202-224-2934,,http://www.cornyn.senate.gov/public/?a=rss.feed,2015-01-06,TX,senior,,sen,https://www.cornyn.senate.gov
D000563,,senate,,,,2007-01-03,,,,,,,,,,2005-01-04,,,Minority Whip,,
D000563,,senate,,,,2009-01-06,,,,,,,,,,2007-01-04,,,Majority Whip,,
D000563,,senate,,,,2011-01-05,,,,,,,,,,2009-01-06,,,Majority Whip,,
D000563,,senate,,,,2013-01-03,,,,,,,,,,2011-01-05,,,Majority Whip,,
D000563,,senate,,,,2015-01-03,,,,,,,,,,2013-01-03,,,Majority Whip,,
D000563,,senate,,,,,,,,,,,,,,2015-01-03,,,Minority Whip,,
D000563,,,,,20.0,1985-01-03,,,,,Democrat,,,,,1983-01-03,IL,,,rep,
D000563,,,,,20.0,1987-01-03,,,,,Democrat,,,,,1985-01-03,IL,,,rep,
D000563,,,,,20.0,1989-01-03,,,,,Democrat,,,,,1987-01-06,IL,,,rep,
D000563,,,,,20.0,1991-01-03,,,,,Democrat,,,,,1989-01-03,IL,,,rep,
D000563,,,,,20.0,1993-01-03,,,,,Democrat,,,,,1991-01-03,IL,,,rep,
D000563,,,,,20.0,1995-01-03,,,,,Democrat,,,,,1993-01-05,IL,,,rep,
D000563,,,,,20.0,1997-01-03,,,,,Democrat,,,,,1995-01-04,IL,,,rep,
D000563,,,2.0,,,2003-01-03,,,,,Democrat,,,,,1997-01-07,IL,,,sen,
D000563,,,2.0,,,2009-01-03,,,,,Democrat,,,,,2003-01-07,IL,,,sen,http://durbin.senate.gov
D000563,,,2.0,http://www.durbin.senate.gov/public/index.cfm/contact,,2015-01-03,202-228-0400,,,711 Hart Senate Office Building,Democrat,,202-224-2152,,http://durbin.senate.gov/public/index.cfm/rss/feed,2009-01-06,IL,senior,,sen,http://www.durbin.senate.gov
D000563,,,2.0,http://www.durbin.senate.gov/public/index.cfm/contact,,2021-01-03,202-228-0400,,,711 Hart Senate Office Building,Democrat,,202-224-2152,,http://durbin.senate.gov/public/index.cfm/rss/feed,2015-01-06,IL,senior,,sen,http://www.durbin.senate.gov
E000285,,,2.0,,,2003-01-03,,,,,Republican,,,,,1997-01-07,WY,,,sen,
E000285,,,2.0,,,2009-01-03,,,,,Republican,,,,,2003-01-07,WY,,,sen,http://enzi.senate.gov
E000285,,,2.0,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,,2015-01-03,202-228-0359,,,379a Russell Senate Office Building,Republican,,202-224-3424,,http://www.enzi.senate.gov/public/index.cfm/rss/feed,2009-01-06,WY,senior,,sen,http://www.enzi.senate.gov
E000285,,,2.0,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,,2021-01-03,202-228-0359,,,379a Russell Senate Office Building,Republican,,202-224-3424,,http://www.enzi.senate.gov/public/index.cfm/rss/feed,2015-01-06,WY,senior,,sen,http://www.enzi.senate.gov
G000359,,,,,3.0,1997-01-03,,,,,Republican,,,,,1995-01-04,SC,,,rep,
G000359,,,,,3.0,1999-01-03,,,,,Republican,,,,,1997-01-07,SC,,,rep,
G000359,,,,,3.0,2001-01-03,,,,,Republican,,,,,1999-01-06,SC,,,rep,
G000359,,,,,3.0,2003-01-03,,,,,Republican,,,,,2001-01-03,SC,,,rep,
G000359,,,2.0,,,2009-01-03,,,,,Republican,,,,,2003-01-07,SC,,,sen,http://lgraham.senate.gov/
G000359,,,2.0,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Contact.EmailSenatorGraham,,2015-01-03,202-224-3808,,,290 Russell Senate Office Building,Republican,,202-224-5972,,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,2009-01-06,SC,senior,,sen,http://www.lgraham.senate.gov
G000359,,,2.0,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Contact.EmailSenatorGraham,,2021-01-03,202-224-3808,,,290 Russell Senate Office Building,Republican,,202-224-5972,,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,2015-01-06,SC,senior,,sen,http://www.lgraham.senate.gov/public
I000024,,,,,1.0,1989-01-03,,,,,Republican,,,,,1987-01-06,OK,,,rep,
I000024,,,,,1.0,1991-01-03,,,,,Republican,,,,,1989-01-03,OK,,,rep,
I000024,,,,,1.0,1993-01-03,,,,,Republican,,,,,1991-01-03,OK,,,rep,
I000024,,,,,1.0,1994-11-15,,,,,Republican,,,,,1993-01-05,OK,,,rep,
I000024,,,2.0,,,1997-01-03,,,,,Republican,,,,,1994-01-01,OK,,,sen,
I000024,,,2.0,,,2003-01-03,,,,,Republican,,,,,1997-01-07,OK,,,sen,
I000024,,,2.0,,,2009-01-03,,,,,Republican,,,,,2003-01-07,OK,,,sen,http://inhofe.senate.gov/
I000024,,,2.0,http://www.inhofe.senate.gov/contact,,2015-01-03,202-228-0380,,,205 Russell Senate Office Building,Republican,,202-224-4721,,http://www.inhofe.senate.gov/rss/feeds/?type=all&amp;cachebuster=eea6c4d7%2d939c%2d5c1e%2db6c7aa3b8b291208,2009-01-06,OK,senior,,sen,http://www.inhofe.senate.gov
I000024,,,2.0,http://www.inhofe.senate.gov/contact,,2021-01-03,202-228-0380,,,205 Russell Senate Office Building,Republican,,202-224-4721,,http://www.inhofe.senate.gov/rss/feeds/?type=all&amp;cachebuster=eea6c4d7%2d939c%2d5c1e%2db6c7aa3b8b291208,2015-01-06,OK,senior,,sen,http://www.inhofe.senate.gov
M000355,,senate,,,,2009-01-06,,,,,,,,,,2007-01-04,,,Minority Leader,,
M000355,,senate,,,,2011-01-05,,,,,,,,,,2009-01-06,,,Minority Leader,,
M000355,,senate,,,,2013-01-03,,,,,,,,,,2011-01-05,,,Minority Leader,,
M000355,,senate,,,,2015-01-03,,,,,,,,,,2013-01-03,,,Minority Leader,,
M000355,,senate,,,,,,,,,,,,,,2015-01-03,,,Majority Leader,,
M000355,,,2.0,,,1991-01-03,,,,,Republican,,,,,1985-01-03,KY,,,sen,
M000355,,,2.0,,,1997-01-03,,,,,Republican,,,,,1991-01-03,KY,,,sen,
M000355,,,2.0,,,2003-01-03,,,,,Republican,,,,,1997-01-07,KY,,,sen,
M000355,,,2.0,,,2009-01-03,,,,,Republican,,,,,2003-01-07,KY,,,sen,http://mcconnell.senate.gov/
M000355,,,2.0,http://www.mcconnell.senate.gov/public/index.cfm?p=ContactForm,,2015-01-03,202-224-2499,,,317 Russell Senate Office Building,Republican,,202-224-2541,,http://www.mcconnell.senate.gov/public/?a=rss.feed,2009-01-06,KY,senior,,sen,http://www.mcconnell.senate.gov
M000355,,,2.0,http://www.mcconnell.senate.gov/public/index.cfm?p=ContactForm,,2021-01-03,202-224-2499,,,317 Russell Senate Office Building,Republican,,202-224-2541,,http://www.mcconnell.senate.gov/public/?a=rss.feed,2015-01-06,KY,senior,,sen,http://www.mcconnell.senate.gov
M001176,,,2.0,http://www.merkley.senate.gov/contact/,,2015-01-03,202-228-3997,,,313 Hart Senate Office Building,Democrat,,202-224-3753,,http://www.merkley.senate.gov/rss/,2009-01-06,OR,junior,,sen,http://www.merkley.senate.gov
M001176,,,2.0,http://www.merkley.senate.gov/contact/,,2021-01-03,202-228-3997,,,313 Hart Senate Office Building,Democrat,,202-224-3753,,http://www.merkley.senate.gov/rss/,2015-01-06,OR,junior,,sen,https://www.merkley.senate.gov
R000122,,,,,2.0,1993-01-03,,,,,Democrat,,,,,1991-01-03,RI,,,rep,
R000122,,,,,2.0,1995-01-03,,,,,Democrat,,,,,1993-01-05,RI,,,rep,
R000122,,,,,2.0,1997-01-03,,,,,Democrat,,,,,1995-01-04,RI,,,rep,
R000122,,,2.0,,,2003-01-03,,,,,Democrat,,,,,1997-01-07,RI,,,sen,
R000122,,,2.0,,,2009-01-03,,,,,Democrat,,,,,2003-01-07,RI,,,sen,http://reed.senate.gov/
R000122,,,2.0,http://www.reed.senate.gov/contact/,,2015-01-03,202-224-4680,,,728 Hart Senate Office Building,Democrat,,202-224-4642,,https://www.reed.senate.gov//rss/feeds/?type=all,2009-01-06,RI,senior,,sen,http://www.reed.senate.gov
R000122,,,2.0,http://www.reed.senate.gov/contact/,,2021-01-03,202-224-4680,,,728 Hart Senate Office Building,Democrat,,202-224-4642,,https://www.reed.senate.gov//rss/feeds/?type=all,2015-01-06,RI,senior,,sen,https://www.reed.senate.gov
R000584,,,2.0,http://www.risch.senate.gov/public/index.cfm?p=Email,,2015-01-03,202-224-2573,,,483 Russell Senate Office Building,Republican,,202-224-2752,,,2009-01-06,ID,junior,,sen,http://www.risch.senate.gov
