State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
South Carolina,396.7,432.9,369.9,440.6,501.8,477.6,541.0,588.5,716.9,700.2,805.1,973.7,"1,023.0","1,020.8",879.6,791.8,684.3,750.9
South Dakota,"1,211.9","1,217.5","1,199.8","1,393.2","1,326.1","1,427.6","1,445.4","2,195.6","3,555.4","2,879.5","2,969.1","3,766.3","3,777.8","3,729.0","4,362.9","3,699.6","3,951.6","3,595.6"
Tennessee,552.7,681.7,630.9,855.7,755.4,780.8,847.2,989.2,"1,091.9","1,143.4","1,242.6","1,479.8","1,484.6","1,717.0","1,749.2","1,521.7","1,370.6","1,487.4"
Texas,"2,695.4","2,911.5","2,809.2","3,262.9","3,566.3","3,647.5","4,128.0","4,925.8","6,043.2","4,496.0","6,321.2","6,776.9","5,971.0","6,097.5","6,269.2","5,953.3","6,056.7","7,194.6"
Utah,162.4,174.6,165.6,181.0,173.7,202.0,224.6,263.1,304.3,250.1,328.2,427.4,439.5,479.6,521.5,417.8,385.0,417.8
Vermont,48.7,49.3,47.7,51.2,55.4,60.0,67.0,89.1,136.1,108.6,139.7,169.4,176.2,214.0,220.7,194.0,195.8,201.3
Virginia,538.5,575.6,530.5,560.6,589.6,571.3,616.8,730.9,871.2,795.8,871.5,"1,038.2","1,179.4","1,213.9","1,207.0","1,031.3",990.8,"1,017.0"
Washington,"1,313.3","1,405.0","1,411.7","1,557.6","1,650.8","1,614.1","1,841.9","2,402.8","2,678.0","2,333.3","2,801.4","3,650.1","3,690.1","3,996.2","3,801.0","3,645.3","3,745.8","4,004.6"
West Virginia,59.3,65.3,55.8,61.3,55.6,62.7,66.3,78.4,104.6,103.5,114.0,134.2,156.9,161.9,168.6,140.9,143.4,150.3
Wisconsin,920.7,933.0,990.8,"1,088.3","1,127.6","1,169.2","1,513.4","1,815.9","2,346.4","1,801.8","2,411.9","2,928.8","3,168.2","3,108.6","3,094.4","2,844.0","2,860.6","2,937.0"
Wyoming,146.6,159.5,135.9,143.1,106.7,111.4,131.3,151.3,201.6,206.8,235.4,323.7,336.9,348.1,349.0,300.4,288.8,304.3
United States,"51,265.5","53,678.9","53,144.2","59,392.7","61,418.1","63,182.3","70,950.4","89,991.8","114,761.4","98,453.9","115,820.1","136,444.5","141,531.6","144,336.2","149,969.6","133,034.2","134,650.1","138,151.6"
